,,NOMBRE,EQUIPO,GOLES A FAVOR,PARTIDOS JUGADOS,GOLES POR PARTIDO
1,,KYLIAN MBAPPÉ,REAL MADRID,21,20,1.05
2,,VEDAT MURIQI,RCD MALLORCA,14,20,0.70
3,,FERRAN TORRES,FC BARCELONA,11,19,0.58
4,,ANTE BUDIMIR,CA OSASUNA,9,20,0.45
4,,ROBERT LEWANDOWSKI,FC BARCELONA,9,16,0.56
6,,ALBERTO MOLEIRO,VILLARREAL CF,8,20,0.40
6,,RAPHAEL DIAS BELLOLI,FC BARCELONA,8,13,0.62
6,,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,8,17,0.47
6,,MIKEL OYARZABAL,REAL SOCIEDAD,8,18,0.44
6,,BORJA IGLESIAS,CELTA,8,19,0.42
6,,CUCHO HERNÁNDEZ,REAL BETIS,8,19,0.42
12,,HUGO DURO,VALENCIA CF,7,20,0.35
12,,ALEXANDER SØRLOTH,ATLÉTICO DE MADRID,7,20,0.35
12,,JULIÁN ALVAREZ,ATLÉTICO DE MADRID,7,21,0.33
12,,VLADYSLAV VANAT,GIRONA FC,7,18,0.39
16,,JORGE DE FRUTOS,RAYO VALLECANO,6,19,0.32
16,,DANI OLMO,FC BARCELONA,6,16,0.38
16,,PERE MILLA,RCD ESPANYOL DE BARCELONA,6,19,0.32
16,,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,6,20,0.30
16,,AKOR ADAMS,SEVILLA FC,6,16,0.38
16,,RAFA MIR,ELCHE CF,6,18,0.33
16,,KARL ETTA EYONG,LEVANTE UD,6,18,0.33
23,,GERARD MORENO,VILLARREAL CF,5,11,0.45
23,,TAJON BUCHANAN,VILLARREAL CF,5,19,0.26
23,,BRAIS MÉNDEZ,REAL SOCIEDAD,5,20,0.25
23,,GONÇALO MANUEL GANCHINHO GUEDES,REAL SOCIEDAD,5,21,0.24
23,,CARLOS VICENTE,DEPORTIVO ALAVÉS,5,21,0.24
23,,PABLO FORNALS,REAL BETIS,5,21,0.24
23,,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,5,21,0.24
23,,GEORGES MIKAUTADZE,VILLARREAL CF,5,15,0.33
23,,ANTONY MATHEUS DOS SANTOS,REAL BETIS,5,16,0.31
32,,VIKTOR TSYHANKOV,GIRONA FC,4,15,0.27
32,,FERMÍN LÓPEZ,FC BARCELONA,4,15,0.27
32,,IVÁN ROMERO,LEVANTE UD,4,17,0.24
32,,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,4,20,0.20
32,,CARLOS ROMERO,RCD ESPANYOL DE BARCELONA,4,20,0.20
32,,ROBERTO FERNÁNDEZ,RCD ESPANYOL DE BARCELONA,4,21,0.19
32,,NICO WILLIAMS,ATHLETIC CLUB,4,17,0.24
32,,ROBERT NAVARRO,ATHLETIC CLUB,4,17,0.24
32,,GERMÁN VALERA,ELCHE CF,4,20,0.20
32,,ÁLVARO RODRÍGUEZ,ELCHE CF,4,18,0.22
32,,ANDRÉ MIGUEL VALENTE DA SILVA,ELCHE CF,4,15,0.27
32,,AITOR RUIBAL,REAL BETIS,4,16,0.25
32,,BORJA MAYORAL,GETAFE CF,4,14,0.29
32,,LUCAS BOYÉ,DEPORTIVO ALAVÉS,4,15,0.27
32,,ABDE EZZALZOULI,REAL BETIS,4,12,0.33
32,,JUDE BELLINGHAM,REAL MADRID,4,17,0.24
48,,ÁLVARO GARCÍA,RAYO VALLECANO,3,21,0.14
48,,FEDERICO VIÑAS,REAL OVIEDO,3,17,0.18
48,,MARCUS RASHFORD,FC BARCELONA,3,19,0.16
48,,CARLOS ÁLVAREZ,LEVANTE UD,3,20,0.15
48,,ANDER BARRENETXEA,REAL SOCIEDAD,3,19,0.16
48,,DIEGO LÓPEZ,VALENCIA CF,3,21,0.14
48,,ARNAUT DANJUMA,VALENCIA CF,3,20,0.15
48,,KIKE GARCÍA,RCD ESPANYOL DE BARCELONA,3,20,0.15
48,,MAURO ARAMBARRI,GETAFE CF,3,21,0.14
48,,ADRIÁN LISO,GETAFE CF,3,17,0.18
48,,THIAGO ALMADA,ATLÉTICO DE MADRID,3,13,0.23
48,,ISAAC ROMERO,SEVILLA FC,3,16,0.19
48,,WILLIOT SWEDBERG,CELTA,3,14,0.21
48,,VÍCTOR MUÑOZ,CA OSASUNA,3,21,0.14
48,,RAÚL GARCÍA,CA OSASUNA,3,20,0.15
48,,ARDA GÜLER,REAL MADRID,3,21,0.14
48,,GONZALO GARCÍA,REAL MADRID,3,16,0.19
48,,CRISTHIAN STUANI,GIRONA FC,3,10,0.30
48,,RUBÉN VARGAS,SEVILLA FC,3,13,0.23
48,,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,3,18,0.17
48,,AZZEDINE OUNAHI,GIRONA FC,3,10,0.30
69,,SANTI COMESAÑA,VILLARREAL CF,2,18,0.11
69,,NICOLAS PÉPÉ,VILLARREAL CF,2,19,0.11
69,,PAPE GUEYE,VILLARREAL CF,2,14,0.14
69,,ISI PALAZÓN,RAYO VALLECANO,2,20,0.10
69,,SALOMÓN RONDÓN,REAL OVIEDO,2,16,0.13
69,,ALBERTO REINA,REAL OVIEDO,2,20,0.10
69,,RONALD ARAUJO,FC BARCELONA,2,11,0.18
69,,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,16,0.13
69,,ADRIÁN DE LA FUENTE,LEVANTE UD,2,17,0.12
69,,TAKEFUSA KUBO,REAL SOCIEDAD,2,18,0.11
69,,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,2,19,0.11
69,,MATEO JOSEPH,RCD MALLORCA,2,20,0.10
