,,NOMBRE,EQUIPO,PARADAS TOTALES,PARTIDOS JUGADOS,% PARADAS
1,,AARÓN ESCANDELL,REAL OVIEDO,101,21,4.81
2,,SERGIO HERRERA,CA OSASUNA,77,21,3.67
3,,MATHEW RYAN,LEVANTE UD,71,18,3.94
4,,DAVID SORIA,GETAFE CF,68,21,3.24
5,,IONUT RADU,CELTA,67,21,3.19
6,,MARKO DMITROVIC,RCD ESPANYOL DE BARCELONA,65,21,3.10
7,,PAULO GAZZANIGA,GIRONA FC,62,19,3.26
7,,UNAI SIMÓN,ATHLETIC CLUB,62,21,2.95
9,,AUGUSTO BATALLA,RAYO VALLECANO,58,21,2.76
10,,ODYSSEAS VLACHODIMOS,SEVILLA FC,57,17,3.35
11,,LEO ROMÁN,RCD MALLORCA,56,16,3.50
12,,ANTONIO SIVERA,DEPORTIVO ALAVÉS,55,21,2.62
13,,JULEN AGIRREZABALA,VALENCIA CF,54,18,3.00
14,,IÑAKI PEÑA,ELCHE CF,51,14,3.64
15,,ÁLEX REMIRO,REAL SOCIEDAD,49,21,2.33
16,,THIBAUT COURTOIS,REAL MADRID,46,21,2.19
17,,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,44,17,2.59
18,,JAN OBLAK,ATLÉTICO DE MADRID,40,20,2.00
18,,ÁLVARO VALLES,REAL BETIS,40,13,3.08
20,,JOAN GARCÍA,FC BARCELONA,39,15,2.60
21,,PAU LÓPEZ,REAL BETIS,26,8,3.25
22,,MATÍAS DITURO,ELCHE CF,18,7,2.57
23,,WOJCIECH SZCZESNY,FC BARCELONA,17,6,2.83
24,,LUCAS BERGSTRÖM,RCD MALLORCA,15,5,3.00
25,,PABLO CAMPOS,LEVANTE UD,11,2,5.50
26,,ØRJAN NYLAND,SEVILLA FC,9,4,2.25
27,,STOLE DIMITRIEVSKI,VALENCIA CF,8,3,2.67
28,,ARNAU TENAS,VILLARREAL CF,6,3,2.00
29,,VLADYSLAV KRAPYVTSOV,GIRONA FC,4,2,2.00
30,,JUAN MUSSO,ATLÉTICO DE MADRID,1,1,1.00
30,,MARC-ANDRÉ TER STEGEN,GIRONA FC,1,1,1.00
32,,VIKTOR TSYHANKOV,GIRONA FC,0,15,0
32,,JOEL ROCA,GIRONA FC,0,18,0
32,,ARNAU MARTÍNEZ,GIRONA FC,0,18,0
32,,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,0,10,0
32,,ALEJANDRO FRANCÉS,GIRONA FC,0,12,0
32,,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0
32,,DAVID LÓPEZ,GIRONA FC,0,3,0
32,,BOJAN MIOVSKI,GIRONA FC,0,1,0
32,,HUGO RINCÓN,GIRONA FC,0,18,0
32,,LADISLAV KREJCÍ,GIRONA FC,0,2,0
32,,JHON SOLÍS,GIRONA FC,0,12,0
32,,VITOR DE OLIVEIRA NUNES DOS REIS,GIRONA FC,0,20,0
32,,IVÁN MARTÍN,GIRONA FC,0,19,0
32,,PAPA DAME BA,GIRONA FC,0,0,0
32,,DALEY BLIND,GIRONA FC,0,19,0
32,,THOMAS LEMAR,GIRONA FC,0,12,0
32,,GIBERT JORDANA,GIRONA FC,0,0,0
32,,YÁSER ASPRILLA,GIRONA FC,0,15,0
32,,PAU NAVARRO,VILLARREAL CF,0,9,0
32,,SERGI CARDONA,VILLARREAL CF,0,16,0
32,,SANTI COMESAÑA,VILLARREAL CF,0,18,0
32,,YÉREMY PINO,VILLARREAL CF,0,2,0
32,,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0
32,,ALBERTO MOLEIRO,VILLARREAL CF,0,20,0
32,,NICOLAS PÉPÉ,VILLARREAL CF,0,19,0
32,,PAPE GUEYE,VILLARREAL CF,0,14,0
32,,THOMAS PARTEY,VILLARREAL CF,0,14,0
32,,GERARD MORENO,VILLARREAL CF,0,11,0
32,,JEAN VALOU,VILLARREAL CF,0,0,0
32,,JUAN FOYTH,VILLARREAL CF,0,13,0
32,,ADRIÀ ALTI,VILLARREAL CF,0,1,0
32,,ALFONSO PEDRAZA,VILLARREAL CF,0,15,0
32,,SANTIAGO MOURIÑO,VILLARREAL CF,0,13,0
32,,TAJON BUCHANAN,VILLARREAL CF,0,19,0
32,,DANI PAREJO,VILLARREAL CF,0,17,0
32,,PAU CABANES,VILLARREAL CF,0,0,0
32,,RAFA MARÍN,VILLARREAL CF,0,14,0
32,,DANI CÁRDENAS,RAYO VALLECANO,0,0,0
32,,ÓSCAR VALENTÍN,RAYO VALLECANO,0,18,0
32,,ANDREI RATIU,RAYO VALLECANO,0,18,0
32,,FRAN PÉREZ,RAYO VALLECANO,0,18,0
32,,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,1,0
32,,JORGE DE FRUTOS,RAYO VALLECANO,0,19,0
