,,NOMBRE,EQUIPO,PASES COMPLETADOS,PASES TOTALES
1,,PAU CUBARSÍ,FC BARCELONA,1357,1431
2,,ERIC GARCÍA,FC BARCELONA,1210,1333
3,,FLORIAN LEJEUNE,RAYO VALLECANO,1127,1279
4,,MARCOS ALONSO,CELTA,1136,1262
5,,ALEIX FEBAS,ELCHE CF,1120,1238
6,,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,1111,1219
7,,ÁLVARO CARRERAS,REAL MADRID,1070,1185
8,,DALEY BLIND,GIRONA FC,1066,1180
9,,DAVID AFFENGRUBER,ELCHE CF,1001,1140
10,,JULES KOUNDÉ,FC BARCELONA,1020,1133
11,,ANTONIO BLANCO,DEPORTIVO ALAVÉS,964,1119
12,,FEDERICO VALVERDE,REAL MADRID,995,1115
13,,FRENKIE DE JONG,FC BARCELONA,1044,1110
14,,JONATHAN CASTRO OTTO,DEPORTIVO ALAVÉS,962,1108
15,,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,999,1075
16,,AURÉLIEN TCHOUAMÉNI,REAL MADRID,977,1067
17,,PABLO FORNALS,REAL BETIS,893,1033
18,,VITOR DE OLIVEIRA NUNES DOS REIS,GIRONA FC,936,1031
19,,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,864,997
20,,ÁLVARO NÚÑEZ,ELCHE CF,905,991
21,,PEDRO BIGAS,ELCHE CF,893,990
22,,MARCOS LLORENTE,ATLÉTICO DE MADRID,875,977
23,,PABLO BARRIOS,ATLÉTICO DE MADRID,864,971
24,,DÁVID HANCKO,ATLÉTICO DE MADRID,825,961
25,,ALEJANDRO CATENA,CA OSASUNA,775,918
26,,MARTIN VALJENT,RCD MALLORCA,790,917
27,,GERARD MARTÍN,FC BARCELONA,818,911
28,,CÉSAR TÁRREGA,VALENCIA CF,777,903
29,,DEAN HUIJSEN,REAL MADRID,794,896
30,,PEP CHAVARRÍA,RAYO VALLECANO,755,891
31,,NATAN BERNARDO DE SOUZA,REAL BETIS,775,888
32,,IVÁN MARTÍN,GIRONA FC,783,887
33,,MIKEL JAUREGIZAR,ATHLETIC CLUB,730,882
34,,DANI VIVIAN,ATHLETIC CLUB,738,872
35,,JAVI RODRÍGUEZ,CELTA,782,864
36,,JOSÉ MANUEL ARIAS COPETE,VALENCIA CF,738,861
36,,JON MONCAYOLA,CA OSASUNA,676,861
38,,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,688,844
39,,ANTONIO RAÍLLO,RCD MALLORCA,735,842
40,,ARDA GÜLER,REAL MADRID,760,837
41,,SERGIO GÓMEZ,REAL SOCIEDAD,711,829
42,,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,665,825
43,,JON GORROTXATEGI,REAL SOCIEDAD,702,822
44,,YURI BERCHICHE,ATHLETIC CLUB,709,821
45,,JUDE BELLINGHAM,REAL MADRID,734,817
46,,LUIS MILLA,GETAFE CF,644,813
47,,FERNANDO CALERO,RCD ESPANYOL DE BARCELONA,711,802
48,,MARC BARTRA,REAL BETIS,681,798
49,,SERGIO CARREIRA,CELTA,677,796
49,,VICTOR CHUST,ELCHE CF,712,796
51,,RENATO PALMA VEIGA,VILLARREAL CF,692,794
52,,JOSÉ ÁNGEL CARMONA,SEVILLA FC,635,778
53,,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,673,774
54,,MARC AGUADO,ELCHE CF,691,766
55,,AUGUSTO BATALLA,RAYO VALLECANO,506,760
56,,IÑAKI PEÑA,ELCHE CF,562,753
57,,ANDREI RATIU,RAYO VALLECANO,613,741
57,,JON ARAMBURU,REAL SOCIEDAD,587,741
57,,ÓSCAR MINGUEZA,CELTA,616,741
60,,IGOR ZUBELDIA,REAL SOCIEDAD,633,727
61,,ALEJANDRO BALDE,FC BARCELONA,662,725
62,,RAFA MARÍN,VILLARREAL CF,656,724
63,,ÁLEX MORENO,GIRONA FC,603,721
64,,LUCIEN AGOUMÉ,SEVILLA FC,578,716
65,,JOHAN MOJICA,RCD MALLORCA,550,712
66,,AARÓN ESCANDELL,REAL OVIEDO,492,711
67,,ÁLEX REMIRO,REAL SOCIEDAD,502,709
68,,UNAI LÓPEZ,RAYO VALLECANO,622,706
68,,DAVID MOTA VEIGA TEIXEIRA DO CARMO,REAL OVIEDO,602,706
70,,ARNAU MARTÍNEZ,GIRONA FC,603,704
71,,AITOR PAREDES,ATHLETIC CLUB,606,700
72,,PATHÉ CISS,RAYO VALLECANO,616,694
73,,KYLIAN MBAPPÉ,REAL MADRID,608,692
74,,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,560,686
75,,DUJE CALETA-CAR,REAL SOCIEDAD,611,684
76,,GIOVANI LO CELSO,REAL BETIS,598,680
76,,ENZO BOYOMO,CA OSASUNA,556,680
78,,HUGO SOTELO,CELTA,624,679
79,,CARL STARFELT,CELTA,643,677
80,,ÉDER GABRIEL MILITÃO PINHEIRO,REAL MADRID,613,675
80,,AXEL WITSEL,GIRONA FC,606,675
82,,GERMÁN VALERA,ELCHE CF,593,670
83,,SANTI COMESAÑA,VILLARREAL CF,551,664
84,,ANTONY MATHEUS DOS SANTOS,REAL BETIS,554,663
85,,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,542,657
86,,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,545,656
87,,JON MARTÍN,REAL SOCIEDAD,592,650
88,,GIULIANO SIMEONE,ATLÉTICO DE MADRID,534,649
89,,RAÚL ASENCIO,REAL MADRID,608,648
89,,DAVID COSTAS,REAL OVIEDO,574,648
91,,JON PACHECO,DEPORTIVO ALAVÉS,549,645
92,,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,500,643
93,,PAULO GAZZANIGA,GIRONA FC,414,637
94,,ADRIÁN DE LA FUENTE,LEVANTE UD,514,636
95,,MOI GÓMEZ,CA OSASUNA,562,632
96,,THIBAUT COURTOIS,REAL MADRID,497,626
97,,UNAI SIMÓN,ATHLETIC CLUB,364,621
97,,LUCAS TORRÓ,CA OSASUNA,464,621
99,,BRAIS MÉNDEZ,REAL SOCIEDAD,500,614
100,,SANTIAGO COLOMBATTO,REAL OVIEDO,524,613
101,,DAVID SORIA,GETAFE CF,272,610
102,,DANI OLMO,FC BARCELONA,511,606
103,,JAN OBLAK,ATLÉTICO DE MADRID,445,605
104,,SERGIO HERRERA,CA OSASUNA,408,602
105,,NEMANJA GUDELJ,SEVILLA FC,536,598
106,,SERGI DARDER,RCD MALLORCA,499,597
107,,ROBIN LE NORMAND,ATLÉTICO DE MADRID,542,596
108,,MARC CASADÓ,FC BARCELONA,542,594
109,,RAHIM ALHASSANE,REAL OVIEDO,480,592
110,,KIKE SALAS,SEVILLA FC,485,588
111,,ISI PALAZÓN,RAYO VALLECANO,476,585
112,,PABLO IBÁÑEZ,DEPORTIVO ALAVÉS,497,582
113,,POL LOZANO,RCD ESPANYOL DE BARCELONA,506,580
114,,HÉCTOR BELLERÍN,REAL BETIS,502,579
115,,VALENTÍN GÓMEZ,REAL BETIS,498,576
115,,DENIS SUÁREZ,DEPORTIVO ALAVÉS,500,576
117,,EDU EXPÓSITO,RCD ESPANYOL DE BARCELONA,448,574
117,,MARC ROCA,REAL BETIS,492,574
119,,SANTIAGO MOURIÑO,VILLARREAL CF,502,569
119,,MORIBA KOUROUMA KOUROUMA,CELTA,488,569
121,,JUAN FOYTH,VILLARREAL CF,507,565
122,,MARKO DMITROVIC,RCD ESPANYOL DE BARCELONA,305,554
123,,ANTONIO SIVERA,DEPORTIVO ALAVÉS,276,553
124,,LEANDER DENDONCKER,REAL OVIEDO,474,549
125,,JEREMY TOLJAN,LEVANTE UD,399,546
126,,CARLOS ROMERO,RCD ESPANYOL DE BARCELONA,428,543
126,,JULIÁN ALVAREZ,ATLÉTICO DE MADRID,451,543
128,,MATHEW RYAN,LEVANTE UD,355,541
129,,CARLES ALEÑÁ,DEPORTIVO ALAVÉS,454,535
130,,DIEGO RICO,GETAFE CF,349,532
131,,AYMERIC LAPORTE,ATHLETIC CLUB,482,530
132,,GABRIEL SUAZO,SEVILLA FC,445,528
132,,ODYSSEAS VLACHODIMOS,SEVILLA FC,354,528
134,,EDUARDO CAMAVINGA,REAL MADRID,479,523
135,,JUAN IGLESIAS,GETAFE CF,341,519
136,,JAVI GUERRA,VALENCIA CF,406,517
136,,NOBEL MENDY,RAYO VALLECANO,447,517
138,,ALEX BERENGUER,ATHLETIC CLUB,392,513
139,,BATISTA MENDY,SEVILLA FC,439,507
140,,DJIBRIL SOW,SEVILLA FC,449,505
141,,CARLOS ÁLVAREZ,LEVANTE UD,407,501
142,,IONUT RADU,CELTA,336,496
143,,JULEN AGIRREZABALA,VALENCIA CF,344,494
144,,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,376,492
145,,MARCUS RASHFORD,FC BARCELONA,411,490
145,,CLÉMENT LENGLET,ATLÉTICO DE MADRID,432,490
147,,ÓSCAR VALENTÍN,RAYO VALLECANO,429,489
147,,DJENÉ DAKONAM,GETAFE CF,387,489
147,,MANU FERNÁNDEZ,CELTA,441,489
150,,JOSÉ GAYÀ,VALENCIA CF,395,488
151,,DANI PAREJO,VILLARREAL CF,424,484
152,,DIMITRI FOULQUIER,VALENCIA CF,411,483
153,,LEO ROMÁN,RCD MALLORCA,320,481
154,,MAURO ARAMBARRI,GETAFE CF,361,480
154,,CARLOS SOLER,REAL SOCIEDAD,417,480
156,,RONALD ARAUJO,FC BARCELONA,439,472
156,,CARLOS VICENTE,DEPORTIVO ALAVÉS,378,472
158,,JUANLU SÁNCHEZ,SEVILLA FC,384,470
158,,KERVIN ARRIAGA,LEVANTE UD,394,470
160,,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,407,466
161,,ALBERTO REINA,REAL OVIEDO,386,462
161,,SERGI ALTIMIRA,REAL BETIS,423,462
163,,LÉO PÉTROT,ELCHE CF,397,461
164,,PAPE GUEYE,VILLARREAL CF,376,460
164,,MANU SÁNCHEZ,LEVANTE UD,365,460
164,,ANTONIO RÜDIGER,REAL MADRID,430,460
167,,PABLO MAFFEO,RCD MALLORCA,334,458
168,,URKO GONZÁLEZ DE ZÁRATE QUIRÓS,RCD ESPANYOL DE BARCELONA,373,457
169,,PEDRO DÍAZ,RAYO VALLECANO,397,456
170,,LUIS RIOJA,VALENCIA CF,352,452
171,,MATÍAS MORENO,LEVANTE UD,386,450
172,,ANDRÉS CASTRÍN,SEVILLA FC,391,447
173,,JESÚS ARESO,ATHLETIC CLUB,374,446
174,,MARTIM CARVALHO NETO,ELCHE CF,396,444
175,,CUCHO HERNÁNDEZ,REAL BETIS,311,441
175,,AIMAR OROZ,CA OSASUNA,343,441
177,,IAGO ASPAS,CELTA,347,438
178,,DOMINGOS ANDRÉ RIBEIRO ALMEIDA,VALENCIA CF,400,437
178,,RUBÉN GARCÍA,CA OSASUNA,343,437
180,,MATTEO RUGGERI,ATLÉTICO DE MADRID,380,434
180,,SOFYAN AMRABAT,REAL BETIS,394,434
182,,VIKTOR TSYHANKOV,GIRONA FC,349,433
183,,HUGO RINCÓN,GIRONA FC,361,432
184,,ANDER BARRENETXEA,REAL SOCIEDAD,344,429
185,,MANU MORLANES,RCD MALLORCA,377,426
186,,VALENTIN ROSIER,CA OSASUNA,324,425
187,,MARC PUBILL,ATLÉTICO DE MADRID,371,420
188,,OMAR MASCARELL,RCD MALLORCA,348,419
189,,JOAN GARCÍA,FC BARCELONA,370,414
189,,THIERRY RENDALL CORREIA,VALENCIA CF,335,414
191,,MATÍAS DITURO,ELCHE CF,312,411
